,filename,filesize,filelength
148,chb20_03.edf.npy,39,3600
149,chb20_04.edf.npy,39,3600
150,chb20_05.edf.npy,38,3600
151,chb20_06.edf.npy,38,3600
152,chb20_07.edf.npy,37,3600
153,chb20_08.edf.npy,39,3600
154,chb20_11.edf.npy,39,3600
155,chb20_12.edf.npy,37,3600
156,chb20_14.edf.npy,38,3600
157,chb20_15.edf.npy,37,3600
158,chb20_16.edf.npy,36,3469
159,chb20_17.edf.npy,38,3600
160,chb20_21.edf.npy,40,3618
161,chb20_22.edf.npy,8,742
162,chb20_23.edf.npy,31,2964
163,chb20_25.edf.npy,39,3600
164,chb20_26.edf.npy,38,3600
165,chb20_27.edf.npy,39,3600
166,chb20_28.edf.npy,39,3600
167,chb20_29.edf.npy,40,3600
168,chb20_30.edf.npy,38,3600
169,chb20_31.edf.npy,38,3600
170,chb20_34.edf.npy,38,3600
171,chb20_59.edf.npy,39,3600
172,chb20_68.edf.npy,21,2167
173,chb21_01.edf.npy,38,3600
174,chb21_02.edf.npy,37,3600
175,chb21_03.edf.npy,37,3600
176,chb21_04.edf.npy,38,3600
177,chb21_05.edf.npy,38,3600
178,chb21_06.edf.npy,38,3600
179,chb21_07.edf.npy,36,3600
180,chb21_08.edf.npy,36,3600
181,chb21_09.edf.npy,40,3600
182,chb21_10.edf.npy,37,3600
183,chb21_11.edf.npy,38,3600
184,chb21_12.edf.npy,37,3600
185,chb21_13.edf.npy,37,3600
186,chb21_14.edf.npy,36,3600
187,chb21_15.edf.npy,36,3600
188,chb21_17.edf.npy,38,3600
189,chb21_18.edf.npy,37,3600
190,chb21_19.edf.npy,39,3600
191,chb21_20.edf.npy,31,2990
192,chb21_21.edf.npy,37,3600
193,chb21_22.edf.npy,39,3600
194,chb21_23.edf.npy,37,3600
195,chb21_24.edf.npy,38,3600
196,chb21_25.edf.npy,38,3600
197,chb21_26.edf.npy,40,3600
198,chb21_27.edf.npy,37,3600
199,chb21_28.edf.npy,38,3600
200,chb21_29.edf.npy,39,3600
201,chb21_30.edf.npy,38,3600
202,chb21_31.edf.npy,38,3600
203,chb21_32.edf.npy,37,3600
204,chb22_01.edf.npy,39,3600
205,chb22_02.edf.npy,38,3600
206,chb22_03.edf.npy,37,3600
207,chb22_04.edf.npy,38,3600
208,chb22_05.edf.npy,35,3600
209,chb22_06.edf.npy,35,3600
210,chb22_07.edf.npy,37,3600
211,chb22_08.edf.npy,39,3600
212,chb22_09.edf.npy,40,3600
213,chb22_10.edf.npy,41,3600
214,chb22_11.edf.npy,42,3611
215,chb22_15.edf.npy,42,3600
216,chb22_16.edf.npy,42,3600
217,chb22_17.edf.npy,41,3600
218,chb22_18.edf.npy,40,3600
219,chb22_19.edf.npy,40,3600
220,chb22_20.edf.npy,41,3600
221,chb22_21.edf.npy,41,3600
222,chb22_22.edf.npy,42,3600
223,chb22_23.edf.npy,40,3600
224,chb22_24.edf.npy,41,3600
225,chb22_25.edf.npy,39,3600
226,chb22_26.edf.npy,37,3600
227,chb22_27.edf.npy,38,3600
228,chb22_28.edf.npy,34,3600
229,chb22_29.edf.npy,38,3600
230,chb22_30.edf.npy,35,3600
231,chb22_38.edf.npy,40,3600
232,chb22_51.edf.npy,39,3600
233,chb22_54.edf.npy,41,3600
234,chb22_77.edf.npy,40,3600
